IngredientID,Name,CaloriesPerUnit,Protein
807,microwave popcorn,465,7.3
808,millet cooked,207,6.1
809,kamut raw,627,27.3
810,wheat durum,651,26.3
811,sorghum,651,21.7
812,white wheat,657,21.7
813,rye,571,17.5
814,spelt raw,588,25.4
815,buckwheat raw,41,1.6
816,honey cereali general mills,104,0
817,barley cooked,193,3.5
818,oats,39,1.7
819,amaranth raw,37,1.4
820,semolina,601,21.2
821,quinoa dry,221,8.5
822,wheat shredded,155,5.2
823,cattail,5,0.2
824,peanut granola bar,116,2.4
825,vanilla bluberry bar kind,49,0
826,coconut granola bar,150,1.5
827,almond granola bar,119,1.8
828,chocolate chip granola bar,105,1.8
829,fruit granola bar,82,1.4
830,granola bar,99,2.1
831,peanut bar,209,6.2
832,milk cereal bar,103,1.6
833,almond rice bar,128,2
834,fruit nut squares,55,0.3
835,rice wheat cereal bar,90,2
836,crisped rice bar,113,1.4
837,brown rice raw,685,14.7
838,rice pilaf cooked,352,7
839,beef flavored rice raw,657,19.8
840,wild rice cooked,166,6.5
841,wild rice raw,571,23.6
842,congee with pork shrimp and squid plus egg,178,0
843,white rice pasta cooked,246,5.1
844,chicken flavored rice raw,601,17.9
845,instant white rice raw,361,7.4
846,rice crisps,107,1.8
847,parboiled white rice raw,692,13.9
848,instant white rice cooked,193,3.6
849,rice pilaf raw,732,21.3
850,rice cracker cake,111,2
851,parboiled white rice cooked,194,4.6
852,white rice steamed,199,4.2
853,brown rice cake,35,0.7
854,glutinous white rice raw,685,12.6
855,white rice pasta raw,600,15.3
856,glutinous white rice cooked,169,3.5
857,brown rice cooked,218,4.5
858,beef flavored rice cooked,319,7
859,white rice cooked,205,4.3
860,chicken flavored rice cooked,317,6.2
861,white rice raw,675,13.2
862,cheese imitation,441,28.3
863,cheshire cheese,110,6.6
864,monterey cheese,421,27.7
865,edam cheese,107,7.5
